node,eth0,eth1,eth2,eth3,eth4
0,13.124.116.51,13.124.54.123,,,
1,13.229.127.21,3.0.217.57,,,
2,34.217.51.225,44.233.84.81,34.215.135.41,44.229.125.198,
3,3.12.154.80,3.22.132.5,3.22.110.91,3.22.26.43,3.12.93.172
4,18.191.212.44,3.21.250.184,3.22.30.247,3.135.59.192,
5,54.83.151.42,3.225.27.128,54.209.115.116,,
6,34.207.160.93,3.233.44.59,54.159.67.191,3.208.214.98,
7,3.83.178.40,34.232.211.107,18.205.145.57,52.3.158.239,18.209.169.9
8,3.248.218.119,52.209.116.139,,,
9,15.236.41.107,15.236.87.153,35.180.17.249,15.236.72.65,
10,3.10.226.205,18.132.65.174,52.56.226.178,3.11.212.128,
11,18.184.204.221,3.127.78.17,,,
12,18.229.149.235,18.229.249.214,54.207.41.181,,
